Mon Dec  7 12:14:23 2020    output.dat

         1226512 function calls (1205812 primitive calls) in 2.919 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1207    0.003    0.000    0.042    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\text.py:170(update)
     7633    0.003    0.000    0.003    0.000 {built-in method _tkinter._flatten}
5768/3670    0.003    0.000    0.013    0.000 {built-in method builtins.hash}
     1288    0.003    0.000    0.009    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\transforms.py:2290(__init__)
     2689    0.003    0.000    0.011    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\cbook\__init__.py:1309(_to_unmasked_float_array)
      656    0.003    0.000    0.003    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\transforms.py:2859(_interval_contains_close)
      846    0.003    0.000    0.013    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\text.py:838(get_prop_tup)
     1124    0.003    0.000    0.004    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\font_manager.py:796(set_stretch)
     1250    0.003    0.000    1.565    0.001 C:\Users\cleme\Desktop\Documents\1. DOCUMENTS CLEMENT\TRAVAIL\Post BAC\projets personnels info\github\pilot_energy_storage\Pilot_Software\arduino_objects.py:148(record_mesures)
     3060    0.003    0.000    0.005    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\lines.py:1285(set_xdata)
     2592    0.003    0.000    0.035    0.000 <__array_function__ internals>:2(any)
     1215    0.003    0.000    0.009    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\artist.py:978(_update_property)
      480    0.003    0.000    0.022    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\legend.py:1041(_get_anchored_bbox)
     5219    0.003    0.000    0.003    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\numpy\core\fromnumeric.py:74(<dictcomp>)
      946    0.003    0.000    0.005    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\font_manager.py:1068(<listcomp>)
     1548    0.003    0.000    0.006    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\markers.py:249(set_fillstyle)
  936/888    0.003    0.000    0.024    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\axes\_base.py:583(_unstale_viewLim)
     5218    0.003    0.000    0.003    0.000 {method 'update' of 'dict' objects}
      192    0.003    0.000    0.007    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\ticker.py:730(_set_order_of_magnitude)
     1124    0.003    0.000    0.005    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\font_manager.py:759(set_style)
     1176    0.003    0.000    0.005    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\lines.py:1401(set_dash_capstyle)
      780    0.003    0.000    0.029    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\transforms.py:1388(transform)
     5888    0.003    0.000    0.008    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\abc.py:96(__instancecheck__)
      865    0.003    0.000    0.010    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\path.py:96(__init__)
      192    0.003    0.000    0.010    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\ticker.py:691(_compute_offset)
     1382    0.003    0.000    0.007    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\text.py:824(get_unitless_position)
      480    0.003    0.000    0.006    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\transforms.py:664(padded)
     2748    0.003    0.000    0.011    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\colors.py:123(_is_nth_color)
     2903    0.003    0.000    0.003    0.000 {built-in method builtins.max}
     2224    0.003    0.000    0.007    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\artist.py:358(set_transform)
     3864    0.003    0.000    0.005    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\font_manager.py:1220(<genexpr>)
     1176    0.003    0.000    0.023    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\lines.py:1243(set_markerfacecolor)
   144/96    0.003    0.000    0.057    0.001 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\offsetbox.py:449(get_extent_offsets)
      384    0.003    0.000    0.010    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\patches.py:526(_bind_draw_path_function)
     2664    0.003    0.000    0.005    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\lines.py:59(_scale_dashes)
     1468    0.003    0.000    0.007    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\matplotlib\transforms.py:1793(transform_affine)
      192    0.003    0.000    0.003    0.000 C:\Users\cleme\AppData\Local\Programs\Python\Python38-32\lib\site-packages\numpy\lib\function_base.py:1141(diff)
